,precision,recall,f1-score,support
0,0.9875862068965517,0.9958275382475661,0.9916897506925207,719.0
1,0.9981949458483754,0.9946043165467626,0.9963963963963964,1668.0
accuracy,0.9949727691663176,0.9949727691663176,0.9949727691663176,0.9949727691663176
macro avg,0.9928905763724636,0.9952159273971644,0.9940430735444585,2387.0
weighted avg,0.9949994354560999,0.9949727691663176,0.9949786845149191,2387.0
