feature,importance
num__serum_creatinine,8018
num__age,7061
num__albumin_creatinine_ratio,1927
num__blood_urea_nitrogen,1449
num__height_cm,1139
num__uric_acid,1103
num__phosphorus,1026
num__bicarbonate,990
cat__gender_Female,987
num__bp_systolic,945
num__urine_creatinine,818
num__urine_albumin,812
