Model,Accuracy,Precision,Recall,F1,ROC-AUC,Single-fit time (s)
XGBoost,0.9949727691663176,0.9981949458483754,0.9946043165467626,0.9963963963963964,0.9999166174709745,0.18845260800003416
LightGBM,0.9958106409719313,0.9975990396158463,0.9964028776978417,0.997000599880024,0.9999174512962647,0.9108502230000113
