,precision,recall,f1-score,support
0,0.9916782246879334,0.9944367176634215,0.9930555555555556,719.0
1,0.9975990396158463,0.9964028776978417,0.997000599880024,1668.0
accuracy,0.9958106409719313,0.9958106409719313,0.9958106409719313,0.9958106409719313
macro avg,0.9946386321518899,0.9954197976806316,0.9950280777177898,2387.0
weighted avg,0.9958156018558255,0.9958106409719313,0.995812293692637,2387.0
